frame,idx,name,posX,posY,posZ,velX,velY,velZ,speed,omegaX,omegaY,omegaZ,omegaMag,qX,qY,qZ,qW,grounded,sleeping,sleepInhibited,sleepCounter,islandRoot,bodyEligible,islandEligible,topologyStable,islandCanSleep,contactRows,maxPenetration,maxSeparationBias,maxClosingSpeed,maxSlipSpeed,maxImpulse,resetReason
17,1,chaos_b,41.0564,100.0000,17.1255,-6.5596,0.0000,14.3242,15.7547,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
17,2,chaos_c,3.5847,100.0000,56.7291,-2.5481,0.0000,-8.9050,9.2624,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
18,0,chaos_a,-53.2205,100.0000,-9.8798,11.4546,0.0000,-11.7534,16.4119,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
18,1,chaos_b,41.0014,100.0000,17.2450,-6.5923,0.0000,14.3426,15.7851,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
18,2,chaos_c,3.5637,100.0000,56.6544,-2.5203,0.0000,-8.9570,9.3048,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
19,0,chaos_a,-53.1249,100.0000,-9.9776,11.4787,0.0000,-11.7397,16.4189,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
19,1,chaos_b,40.9462,100.0000,17.3647,-6.6252,0.0000,14.3612,15.8157,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
19,2,chaos_c,3.5429,100.0000,56.5794,-2.4922,0.0000,-9.0092,9.3476,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
20,0,chaos_a,-53.0290,100.0000,-10.0753,11.5028,0.0000,-11.7260,16.4260,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
20,1,chaos_b,40.8907,100.0000,17.4845,-6.6582,0.0000,14.3798,15.8464,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
20,2,chaos_c,3.5224,100.0000,56.5038,-2.4638,0.0000,-9.0616,9.3906,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
21,0,chaos_a,-52.9330,100.0000,-10.1729,11.5270,0.0000,-11.7121,16.4330,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
21,1,chaos_b,40.8350,100.0000,17.6045,-6.6914,0.0000,14.3984,15.8773,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
21,2,chaos_c,3.5021,100.0000,56.4279,-2.4350,0.0000,-9.1142,9.4339,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,2,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1
